high_g_x,high_g_y,high_g_z,high_g_y,time,high_g_y,high_g_y,accel,high_g_y,alt,high_g_y,velo,high_g_y,high_g_y,bmx_x_accel,bmx_y_accel,bmx_z_accel,cpu_temp,real_temp,baro_height,gps_height,gps_satCount,gps_lat,gps_lon,gps_ascent,gps_groundSpeed,telemetrum_board.arm_status,telemetrum_board.current,telemetrum_board.voltage,stratologger_board.arm_status,stratologger_board.current,stratologger_board.voltage,camera_board.arm_status,camera_board.current,camera_board.voltage,v3_rail_voltage,v5_rail_voltage,mainBatteryVoltage,mainBatteryTemperature
-0.313812792,-0.392266005,0.431492597,-0.392266005,167.490097,-0.392266005,-0.392266005,-0.392266005,-0.392266005,18511.06055,-0.392266005,455.1288757,-0.392266005,-0.392266005,-4.093690872,-6.94324398,0.844577909,54.0719986,41.54950333,18511.06055,20195.21094,11,32.94269562,-106.9047775,455.1288757,14.7159996,1,37.77243042,4.138950825,1,0,8.205225945,1,418.4735107,4.981320858,3.319937229,5.0314188,14.51241589,36.01778412
-0.117679797,-0.50994581,0.117679797,-0.50994581,167.682785,-0.50994581,-0.50994581,-0.50994581,-0.50994581,18493.24023,-0.50994581,455.1288757,-0.50994581,-0.50994581,-1.004282117,-9.420154572,-3.477603436,54.0719986,41.56847763,18493.24023,20195.21094,11,32.94269562,-106.9047775,455.1288757,14.7159996,1,37.77243042,4.138950825,1,0,8.187520027,1,418.4735107,4.981320858,3.319937229,5.0314188,14.51241589,36.01778412
-0.431492597,-0.666852176,0.117679797,-0.666852176,167.8744507,-0.666852176,-0.666852176,-0.666852176,-0.666852176,18467.62305,-0.666852176,455.1288757,-0.666852176,-0.666852176,-3.800600529,-10.77016258,-2.211932898,54.61000061,41.5678215,18467.62305,20195.21094,11,32.94269562,-106.9047775,455.1288757,14.7159996,1,37.77243042,4.138950825,1,0,8.187520027,1,403.692627,4.978385925,3.319937229,5.0314188,14.51241589,36.01778412
-0.353039414,-0.313812792,0.117679797,-0.313812792,168.0372772,-0.313812792,-0.313812792,-0.313812792,-0.313812792,18474.17578,-0.313812792,455.1288757,-0.313812792,-0.313812792,-6.871466637,-6.516170025,-1.073666692,55.14799881,41.57286072,18474.17578,20195.21094,11,32.94269562,-106.9047775,455.1288757,14.7159996,1,37.77243042,4.138950825,1,0,8.187520027,1,403.692627,4.978385925,3.319937229,5.0314188,14.51241589,36.01778412
-0.823758602,-0.196133003,-0.039226599,-0.196133003,168.2382355,-0.196133003,-0.196133003,-0.196133003,-0.196133003,18445.47266,-0.196133003,455.1288757,-0.196133003,-0.196133003,-6.517365932,-6.196761608,-3.561343431,54.61000061,41.60635757,18445.47266,20195.21094,11,32.94270706,-106.9047012,455.1288757,14.02999973,1,37.77243042,4.138950825,1,0,8.185926437,1,403.692627,4.978385925,3.319937229,5.0314188,14.51241589,36.01778412
-0.353039414,-0.588398993,0.078453198,-0.588398993,168.4291077,-0.588398993,-0.588398993,-0.588398993,-0.588398993,18430.0625,-0.588398993,455.1288757,-0.588398993,-0.588398993,-3.38668561,-10.32813549,-6.032870293,54.0719986,41.57541275,18430.0625,20195.21094,0,32.94270706,-106.9047012,455.1288757,14.02999973,1,37.77243042,4.138950825,1,0,8.185926437,1,385.7805786,4.980908394,3.319937229,5.0314188,14.51241589,36.01778412
-0.666852176,-0.274586201,0.431492597,-0.274586201,168.5933838,-0.274586201,-0.274586201,-0.274586201,-0.274586201,18413.07422,-0.274586201,455.1288757,-0.274586201,-0.274586201,-4.704992771,-6.927093983,-0.55088973,54.0719986,41.5707016,18413.07422,20195.21094,0,32.94270706,-106.9047012,455.1288757,14.02999973,1,37.77243042,4.138950825,1,0,8.185926437,1,385.7805786,4.980908394,3.319937229,5.0314188,14.51241589,36.01778412
-1.176797986,-0.353039414,0.078453198,-0.353039414,168.7905121,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18411.54297,-0.353039414,455.1288757,-0.353039414,-0.353039414,-9.913023949,-7.301531792,-1.536031246,54.61000061,41.58954239,18411.54297,20195.21094,0,32.94270706,-106.9047012,455.1288757,14.02999973,1,37.77243042,4.138950825,1,0,8.186325073,1,385.7805786,4.980908394,3.319937229,5.0314188,14.51241589,36.01778412
-1.01989162,-0.470719188,0.470719188,-0.470719188,168.9477539,-0.470719188,-0.470719188,-0.470719188,-0.470719188,18381.68555,-0.470719188,455.1288757,-0.470719188,-0.470719188,-9.113306999,-8.009135246,1.138864279,54.0719986,41.58404541,18381.68555,20195.21094,0,32.94270706,-106.9047012,455.1288757,14.02999973,1,37.77243042,4.138950825,1,0,8.186325073,1,385.7805786,4.980908394,3.319937229,5.0314188,14.51241589,36.01778412
-0.549172401,-0.353039414,0.941438377,-0.353039414,169.1454315,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18359.99023,-0.353039414,455.1288757,-0.353039414,-0.353039414,-4.892809868,-7.896085739,3.564334154,54.0719986,41.59157181,18359.99023,20195.21094,0,32.94270706,-106.9047012,455.1288757,14.02999973,1,29.59162712,4.133930683,1,0,8.186325073,1,385.7805786,4.980908394,3.319937229,5.0314188,14.51241589,36.01778412
-0.431492597,-0.549172401,0.50994581,-0.549172401,169.3906708,-0.549172401,-0.549172401,-0.549172401,-0.549172401,18343.3125,-0.549172401,455.1288757,-0.549172401,-0.549172401,-2.341729879,-10.6206274,2.997892618,54.0719986,41.58267212,18343.3125,20195.21094,0,32.94272232,-106.9046326,455.1288757,13.0010004,1,29.59162712,4.133930683,1,0,8.186325073,1,385.7805786,4.980908394,3.320571661,5.037718773,14.53566933,36.20499039
-0.470719188,-0.745305419,0.235359594,-0.745305419,169.5840912,-0.745305419,-0.745305419,-0.745305419,-0.745305419,18326.07813,-0.745305419,455.1288757,-0.745305419,-0.745305419,-2.915349007,-12.27808094,-1.494759321,54.0719986,41.57128906,18326.07813,20195.21094,0,32.94272232,-106.9046326,455.1288757,13.0010004,1,34.81734848,4.133622646,1,0,8.186325073,1,385.7805786,4.980908394,3.320571661,5.037718773,14.53566933,36.20499039
-0.353039414,-0.470719188,0.470719188,-0.470719188,169.7410736,-0.470719188,-0.470719188,-0.470719188,-0.470719188,18305.14063,-0.470719188,455.1288757,-0.470719188,-0.470719188,-2.972770691,-8.961977005,2.12280941,54.61000061,41.56579208,18305.14063,20195.21094,0,32.94272232,-106.9046326,455.1288757,13.0010004,1,34.81734848,4.133622646,1,0,8.186325073,1,385.7805786,4.980908394,3.320571661,5.037718773,14.53566933,36.20499039
-0.431492597,-0.196133003,0.745305419,-0.196133003,169.977829,-0.196133003,-0.196133003,-0.196133003,-0.196133003,18295.14063,-0.196133003,455.1288757,-0.196133003,-0.196133003,-3.941164255,-7.867374897,4.030287743,54.0719986,41.5803833,18295.14063,20195.21094,0,32.94272232,-106.9046326,455.1288757,13.0010004,1,34.81734848,4.133622646,1,0,8.186325073,1,385.7805786,4.980908394,3.320201635,5.035374641,14.50507259,36.00379944
0,-0.156906396,0.588398993,-0.156906396,170.1764679,-0.156906396,-0.156906396,-0.156906396,-0.156906396,18278.53711,-0.156906396,455.1288757,-0.156906396,-0.156906396,1.66642642,-6.554450989,4.880846977,54.0719986,41.57305527,18278.53711,20195.21094,0,32.94272232,-106.9046326,455.1288757,13.0010004,1,38.1326561,4.132516861,1,0,8.186325073,1,385.7805786,4.980908394,3.320201635,5.035374641,14.50507259,36.00379944
0.431492597,-0.50994581,0.627625585,-0.50994581,170.3346558,-0.50994581,-0.50994581,-0.50994581,-0.50994581,18266.39844,-0.50994581,455.1288757,-0.50994581,-0.50994581,7.311699867,-9.534399033,6.318184376,54.0719986,41.55598068,18266.39844,20195.21094,11,32.94274521,-106.9045715,455.1288757,11.73200035,1,38.1326561,4.132516861,1,0,8.186325073,1,385.7805786,4.980908394,3.320201635,5.035374641,14.50507259,36.00379944
0.235359594,-0.666852176,0.666852176,-0.666852176,170.6544037,-0.666852176,-0.666852176,-0.666852176,-0.666852176,18235.95313,-0.666852176,455.1288757,-0.666852176,-0.666852176,2.715569258,-11.61653519,3.912453413,54.61000061,41.58201981,18235.95313,20195.21094,11,32.94274521,-106.9045715,455.1288757,11.73200035,1,36.53640747,4.133420467,1,0,8.186325073,1,385.7805786,4.980908394,3.320201635,5.035374641,14.50507259,36.00379944
